Neighborhood,Zone,Latitude,Longitude
Cantonment area,Central,12.994,77.598
Domlur,Central,12.961,77.639
Indiranagar,Central,12.978,77.641
Jeevanbheemanagar,Central,12.964,77.658
Malleswaram,Central,12.005,77.569
Pete area,Central,13.046,77.675
Sadashivanagar,Central,13.007,77.581
Seshadripuram,Central,12.989,77.574
Shivajinagar,Central,12.986,77.606
Ulsoor,Central,12.982,77.628
Vasanth Nagar,Central,12.99,77.593
Bellandur,Eastern,12.93,77.678
CV Raman Nagar,Eastern,12.979,77.664
Hoodi,Eastern,12.99,77.713
Krishnarajapuram,Eastern,13.017,77.704
Mahadevapura,Eastern,12.988,77.69
Marathahalli,Eastern,12.957,77.701
Varthur,Eastern,12.939,77.741
Whitefield,Eastern,12.97,77.75
Banaswadi,North-Eastern,13.01,77.648
HBR Layout,North-Eastern,13.035,77.628
Horamavu,North-Eastern,13.033,77.658
Kalyan Nagar,North-Eastern,13.024,77.643
Kammanahalli,North-Eastern,13.016,77.638
Lingarajapuram,North-Eastern,13.013,77.626
Ramamurthy Nagar,North-Eastern,13.016,77.678
Hebbal,Northern,13.035,77.599
Jalahalli,Northern,13.045,77.548
Mathikere,Northern,13.033,77.564
Peenya,Northern,13.028,77.52
R. T. Nagar,Northern,13.025,77.595
Vidyaranyapura,Northern,13.081,77.556
Yelahanka,Northern,13.116,77.607
Yeshwanthpur,Northern,13.025,77.534
Bommanahalli,South-Eastern,12.903,77.624
Bommasandra,South-Eastern,12.817,77.697
BTM Layout,South-Eastern,12.917,77.61
Electronic City,South-Eastern,12.845,77.66
HSR Layout,South-Eastern,12.912,77.645
Koramangala,South-Eastern,12.935,77.624
Madiwala,South-Eastern,12.923,77.617
Banashankari,Southern,12.925,77.547
Basavanagudi,Southern,12.941,77.574
Girinagar,Southern,12.942,77.546
J. P. Nagar,Southern,12.906,77.586
Jayanagar,Southern,12.931,77.584
Kumaraswamy Layout,Southern,12.904,77.565
Padmanabhanagar,Southern,12.916,77.557
Uttarahalli,Southern,12.907,77.552
Anjanapura,Southern suburbs,12.855,77.554
Arekere,Southern suburbs,12.887,77.597
Begur,Southern suburbs,12.879,77.638
Gottigere,Southern suburbs,12.856,77.589
Hulimavu,Southern suburbs,12.872,77.602
Kothnur,Southern suburbs,13.055,77.642
Basaveshwaranagar,Western,12.988,77.538
Kamakshipalya,Western,12.985,77.527
Kengeri,Western,12.9,77.483
Mahalakshmi Layout,Western,13.015,77.551
Nagarbhavi,Western,12.972,77.513
Nandini Layout,Western,13.014,77.534
Nayandahalli,Western,12.945,77.526
Rajajinagar,Western,12.998,77.553
Rajarajeshwari Nagar,Western,12.915,77.521
Vijayanagar,Western,12.976,77.535
